"","data_aet","data_tmax","data_tmin","data_ws","data_ppt"
"482",5.1,30.23,16.69,5.02,5
"483",4,27.83,13.88,5.12,4
"484",8.6,26.93,12.47,3.87,8.8
"485",63.3,21.73,10.56,3.44,66.4
"486",20.9,20.45,7.86,2.71,21.8
"487",26.4,18.91,7.98,4.01,27.6
"488",26.4,21.09,8.79000000000001,3.9,27.6
"489",13.5,21.64,8.60000000000001,4.86,14.1
"490",5.2,24.38,10.74,5.02,5.4
"491",23.4,25.6,12.25,5.4,24.6
"492",11.4,28.04,14.61,5.5,11.9
"493",1.2,29.85,15.43,5.11,1.2
"494",1.3,29.97,15.35,5.27,1.3
"495",1.8,30.24,15.18,4.72,1.8
"496",22.3,26.47,13.03,4.08,23.4
"497",20.7,21.76,10.94,2.84,21.7
"498",17.4,22.03,9.25,3.62,18.2
"499",26.2,20.53,8.68000000000001,3.6,27.5
"500",49,20.96,8.72,3.89,51.5
"501",37.9,20.73,8.23,4.66,39.8
"502",3.2,25.94,11.75,4.99,3.3
"503",9.9,27.36,12.94,5.3,10.4
"504",11.2,29.97,15.46,4.79,11.7
"505",6.4,28.06,14.4,4.85,6.8
"506",3.7,29.6,14.85,5.91,3.8
"507",7.1,27.94,14.21,5.53,7.5
"508",5.7,25.9,11.27,4.06,6
"509",10.8,21.98,8.94,3,11.3
"510",19,21.99,8.69,3.28,20
"511",42.6,20.08,7.78,3.69,44.8
"512",18.9,21.66,9.24000000000001,3.58,19.8
"513",19.2,20.46,8.33,4.52,20.2
"514",1.1,25.25,10.51,5.28,1.2
"515",8.7,26.5,12.77,5.12,9.1
"516",1.4,28.49,13.23,5.92,1.4
"517",2.7,28.79,13.82,5.03,2.8
"518",2.3,30.21,14.24,5.51,2.4
"519",4.5,28.96,13.8,4.86,4.7
"520",26.8,24.82,11.97,4.17,28.2
"521",39,22.78,9.95,3.29,41.1
"522",11.4,21.25,8.19,2.7,12
"523",68.9,18.62,8.13,4.87,113.1
"524",57.2,18.52,8.79000000000001,4.09,39.3
"525",27.3,19.39,8.21000000000001,4.52,22.8
"526",11.8,24.74,12.07,4.99,9.7
"527",14.4,26.66,13.25,4.97,13.6
"528",1.7,27.96,13.55,5.51,0.7
"529",11.2,27.19,13.62,4.6,11.1
"530",6.8,30.12,14.55,5.04,6.6
"531",3.7,29.29,13.95,4.59,3.4
"532",15,27.01,12.13,3.74,15.5
"533",54.4,21.56,9.23,3.28,56.9
"534",24.2,18.82,7.58,3.1,25.2
"535",47.2,17.87,7.34,3.89,49.5
"536",36.9,19.5,8.16,3.98,38.6
"537",17.5,22.65,9.87,4.63,18.2
"538",7.4,24.68,10.27,5.07,7.7
"539",5.3,26.1,11.03,5.48,5.5
"540",4.4,28.89,14.71,5.11,4.5
"541",0.4,29.17,14.96,5.11,0.4
"542",1.7,30.25,15.16,4.94,1.7
"543",9,28.19,14.05,4.99,9.4
"544",4.8,27.2,13.8,3.71,5
"545",9.4,22.62,10.23,3.12,9.8
"546",7,20.7,7.54000000000001,2.9,7.3
"547",6.2,20.41,7.39,3.48,6.4
"548",71.1,17.95,6.69,3.87,74.9
"549",11.7,20.81,8.96000000000001,4.28,12.3
"550",10.6,24.82,11.28,4.5,11.1
"551",1.4,27.1,12.83,5.15,1.4
"552",3.7,27.64,12.9,5.8,3.9
"553",4,26.43,12.56,4.86,4.2
"554",0.1,30.03,15.63,5.41,0.1
"555",2,27.79,12.98,5.13,2.1
"556",36.8,26.06,12.93,3.96,38.7
"557",1.7,25.02,11.95,2.94,1.8
"558",41.5,21.23,9.51000000000001,2.98,43.7
"559",23.3,19.31,7.05,3.2,24.5
"560",33,20.77,8.95,3.63,34.7
"561",15.6,22.34,8.59,4.36,16.4
"562",28,24.64,11.24,4.72,29.4
"563",0.6,28.7,14.6,5.08,0.6
"564",1.8,29.14,14.85,5.42,1.8
"565",6.5,29.13,15.56,4.98,6.8
"566",1,30.5,15.73,5.76,1.1
"567",3.5,28.45,14.58,4.87,3.7
"568",48.3,25.1,12.47,4.21,50.9
"569",27.2,21.98,11.15,3.44,28.6
"570",28.6,19.93,7.77,3.41,30.1
"571",9.9,22.04,8.78,3.27,10.4
"572",30.2,19.07,7.42,3.57,31.8
"573",9.8,23.35,9.23,3.94,10.3
"574",11.2,24.82,9.87,4.69,11.8
"575",4.7,26.98,12.61,5.28,4.9
"576",0.2,28.37,13.03,6.24,0.2
"577",5.7,29.6,15.73,5.09,6
"578",5.7,30.08,15.73,5.19,6
"579",0.7,27.56,13.19,5.59,0.7
"580",22,25.56,12.77,4.3,23.1
"581",68.7,20.4,9.46000000000001,3.3,90.6
"582",32.6,21.8,8.90000000000001,3.95,26.8
"583",29,19.93,8.93000000000001,3.03,27.5
"584",44.1,19.24,8.26000000000001,3.9,44.7
"585",7.4,23.64,10.17,4.26,6.6
"586",6.7,25.34,11.27,5.01,6.3
"587",11.2,27.6,13.07,5.57,11.2
"588",2.6,27.87,13.45,5.67,2.2
"589",0.4,30.52,15.82,4.9,0.1
"590",4.7,29.54,14.73,5.29,4.7
"591",4,29.05,13.78,5.02,4
"592",27.8,27.39,12.86,3.89,29.1
"593",34.5,23.27,10.27,3.49,36.1
"594",66.4,20.2,8.88,4.19,71.9
"595",61.2,19.56,7.85000000000001,3.74,63.9
"596",32,19.84,8.26000000000001,3.96,33.3
"597",2.9,22.77,8.99000000000001,3.93,2.7
"598",5.3,25.08,11.3,5.39,5.4
"599",10.4,25.13,11.71,5.72,10.8
"600",14,28.64,14.28,5.15,14.6
